Category: All categories

Week,Seventeen: (Worldwide),EXO: (Worldwide),Stray Kids: (Worldwide)
2025-04-20,44,34,44
2025-04-27,41,33,43
2025-05-04,39,35,42
2025-05-11,41,35,39
2025-05-18,49,35,43
2025-05-25,64,33,53
2025-06-01,58,33,52
2025-06-08,52,35,55
2025-06-15,46,34,58
2025-06-22,42,34,62
2025-06-29,42,34,54
2025-07-06,45,36,58
2025-07-13,44,36,73
2025-07-20,46,35,84
2025-07-27,47,36,87
2025-08-03,48,38,65
2025-08-10,44,37,65
2025-08-17,45,40,96
2025-08-24,43,38,91
2025-08-31,42,39,75
2025-09-07,42,45,74
2025-09-14,43,40,65
2025-09-21,42,43,59
2025-09-28,42,38,60
2025-10-05,40,38,53
2025-10-12,40,38,59
2025-10-19,35,40,70
2025-10-26,34,46,53
2025-11-02,37,39,53
2025-11-09,35,39,55
2025-11-16,40,40,79
2025-11-23,44,37,85
2025-11-30,42,45,88
2025-12-07,41,42,76
2025-12-14,38,50,74
2025-12-21,36,58,75
2025-12-28,38,41,79
2026-01-04,36,40,91
2026-01-11,37,43,86
2026-01-18,37,50,70
2026-01-25,36,49,69
2026-02-01,33,44,100
2026-02-08,36,41,85
2026-02-15,37,36,63
2026-02-22,35,39,55
2026-03-01,36,40,52
2026-03-08,36,43,52
2026-03-15,35,42,57
2026-03-22,36,47,61
2026-03-29,40,56,55
2026-04-05,38,57,51
2026-04-12,35,54,42
2026-04-19,33,49,41
